Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","CAP_1608_TDK-L",95.894873,-85.699845,-90.000000,bottom
"C2","120pF","G-188_MUR-L",105.586354,-85.511845,90.000000,bottom
"C3","22uF 6.3V","G-188_MUR-L",95.832188,-90.119200,0.000000,bottom
"C4","4.7uF","CAP_1608_TDK-L",95.894873,-77.724500,-90.000000,bottom
"C5","120pF","G-188_MUR-L",105.586354,-77.724000,90.000000,bottom
"C6","22uF 6.3V","G-188_MUR-L",95.832188,-80.772000,0.000000,bottom
"C7","22uF 6.3V","G-188_MUR-L",95.832188,-82.423000,0.000000,bottom
"C8","4.7uF","CAP_1608_TDK-L",95.894873,-68.148200,-90.000000,bottom
"C9","120pF","G-188_MUR-L",105.586354,-68.173600,90.000000,bottom
"C10","22uF 6.3V","G-188_MUR-L",95.859600,-72.263000,0.000000,bottom
"C12","220nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",129.958900,-62.280800,-90.000000,bottom
"C13","22nF","CAPC1608X90N",131.292600,-86.512400,-90.000000,bottom
"C14","22nF","CAPC1608X90N",131.292600,-82.169000,-90.000000,bottom
"C15","22nF","CAPC1608X90N",142.824200,-69.951600,-90.000000,bottom
"C16","22nF","CAPC1608X90N",142.824200,-84.607400,-90.000000,bottom
"C18","22uF 6.3V","G-188_MUR-L",95.832188,-92.024200,0.000000,bottom
"C19","22uF 6.3V","G-188_MUR-L",95.832188,-88.578845,0.000000,bottom
"C20","22nF","CAPC1608X90N",125.030000,-76.900000,0.000000,bottom
"C21","22nF","CAPC1608X90N",125.030000,-75.150000,0.000000,bottom
"C22","2.2uF X7R","G-188_MUR-L",119.100000,-78.003400,0.000000,bottom
"C23","22nF","CAPC1608X90N",125.030000,-82.300000,0.000000,bottom
"C24","22nF","CAPC1608X90N",116.350000,-77.850000,-90.000000,bottom
"C25","2.2uF X7R","G-188_MUR-L",119.100000,-79.300000,0.000000,bottom
"C26","22nF","CAPC1608X90N",114.250000,-70.150000,0.000000,bottom
"C27","22nF","CAPC1608X90N",125.030000,-78.650000,0.000000,bottom
"C28","2.2uF X7R","G-188_MUR-L",111.350000,-86.200000,-90.000000,bottom
"C29","22nF","CAPC1608X90N",125.020000,-80.500000,0.000000,bottom
"C30","22nF","CAPC1608X90N",142.800000,-80.080000,-90.000000,bottom
"C31","10nF","G-033_MUR-L",121.050000,-75.600000,180.000000,bottom
"C32","10nF","G-033_MUR-L",118.779400,-80.950000,0.000000,bottom
"C33","10nF","G-033_MUR-L",118.350000,-76.400000,0.000000,bottom
"C34","10nF","G-033_MUR-L",116.750000,-82.200000,90.000000,bottom
"C35","10nF","G-033_MUR-L",122.100000,-79.350000,90.000000,bottom
"C36","10nF","G-033_MUR-L",118.770600,-82.900000,0.000000,bottom
"C37","10nF","G-033_MUR-L",118.350000,-75.000000,90.000000,bottom
"C38","10nF","G-033_MUR-L",118.770600,-82.250000,0.000000,bottom
"C39","10nF","G-033_MUR-L",117.200000,-80.950000,180.000000,bottom
"C40","10nF","G-033_MUR-L",121.029400,-74.750000,180.000000,bottom
"C41","10nF","G-033_MUR-L",122.250000,-72.379400,90.000000,bottom
"C42","10nF","G-033_MUR-L",118.779400,-81.600000,0.000000,bottom
"J1","DF40C-100DP-0.4V_51_","HIROSE_DF40C-100DP-0.4V_51_",114.870000,-62.290000,180.000000,bottom
"J2","DF40C-100DP-0.4V_51_","HIROSE_DF40C-100DP-0.4V_51_",114.870000,-96.285000,180.000000,bottom
